year,month,day,hour,ausleihen,holidays,weekday,workday,tempC,precipMM,humidity,windspeedKmph,weatherDesc2,starttime,rueckgaben1stunde,rueckgaben1woche,rueckgaben2woche,rueckgaben3woche,abweichung,ausleihpredict,ausleihen_real
2015,5,22,6,6,0,4,1,14.0,0.0,69.0,15.0,1,2015-05-22 06:00:00,1,9,12,9,33.33333333333333,4.7960906,4
2015,5,22,7,16,0,4,1,15.0,0.0,62.0,17.0,1,2015-05-22 07:00:00,6,9,15,15,6.666666666666667,9.848341,11
2015,5,22,8,32,0,4,1,17.0,0.0,55.0,19.0,1,2015-05-22 08:00:00,16,32,20,23,39.130434782608695,18.920715,16
2015,5,22,10,9,0,4,1,20.0,0.0,45.0,21.0,1,2015-05-22 10:00:00,19,16,5,8,12.5,12.584993,11
2015,5,22,12,13,0,4,1,21.0,0.0,42.0,22.0,1,2015-05-22 12:00:00,18,19,21,6,31.57894736842105,0.0,0
2015,5,22,16,24,0,4,1,19.0,0.0,52.0,20.0,1,2015-05-22 16:00:00,12,30,22,28,14.285714285714285,27.54473,19
2015,5,22,17,44,0,4,1,18.0,0.0,55.0,17.0,1,2015-05-22 17:00:00,24,39,41,34,12.82051282051282,40.280323,31
2015,5,22,18,29,0,4,1,17.0,0.0,58.0,14.0,1,2015-05-22 18:00:00,44,39,39,18,25.64102564102564,35.5123,33
2015,5,22,21,6,0,4,1,14.0,0.0,56.0,22.0,1,2015-05-22 21:00:00,11,5,18,4,20.0,3.9000313,1
2015,5,22,23,4,0,4,1,12.0,0.0,53.0,22.0,1,2015-05-22 23:00:00,3,3,6,2,33.33333333333333,2.0645068,2
2015,5,23,7,4,0,5,0,11.0,0.0,45.0,15.0,1,2015-05-23 07:00:00,2,4,4,1,0.0,0.0,0
2015,5,23,8,7,0,5,0,12.0,0.0,39.0,14.0,1,2015-05-23 08:00:00,4,2,13,8,12.5,9.001205,7
2015,5,23,10,14,0,5,0,15.0,0.0,34.0,13.0,1,2015-05-23 10:00:00,3,12,9,10,40.0,13.176991,13
2015,5,23,13,24,0,5,0,19.0,0.0,36.0,11.0,1,2015-05-23 13:00:00,14,43,14,30,20.0,25.647432,22
2015,5,23,15,27,0,5,0,20.0,0.0,38.0,12.0,1,2015-05-23 15:00:00,47,46,34,39,30.76923076923077,35.826164,25
2015,5,23,16,37,0,5,0,18.0,0.0,45.0,14.0,1,2015-05-23 16:00:00,27,49,29,35,5.714285714285714,27.99926,38
2015,5,23,17,41,0,5,0,16.0,0.0,52.0,15.0,1,2015-05-23 17:00:00,37,30,30,49,36.66666666666666,0.0,0
2015,5,23,21,5,0,5,0,12.0,0.0,68.0,16.0,1,2015-05-23 21:00:00,18,1,11,4,25.0,0.0,0
2015,5,24,9,13,0,6,0,20.0,0.0,49.0,16.0,1,2015-05-24 09:00:00,6,8,12,15,8.333333333333332,8.307817,8
2015,5,24,10,20,0,6,0,21.0,0.0,47.0,15.0,1,2015-05-24 10:00:00,13,28,20,14,0.0,17.332819,15
2015,5,24,11,20,0,6,0,22.0,0.0,44.0,14.0,1,2015-05-24 11:00:00,20,29,24,35,31.03448275862069,26.078861,16
